name_fr,description_pt,category,gluten,milk,egg,peanut,soy,price,active,source_pdf,source_date,price_raw
"1/4PAILLARD
AUX GRAINES","farinha de trigo semi-integral
orgânica, levedura natural, cereais",Breads,TRUE,TRUE,,,,8.00,TRUE,Plano etiquetas pão 11-12-25.pdf,2025-12-11,"8,00€"
"1/8-1/4
PAILLARD CLASSIC","farinha de trigo semi-integral orgânica,
levedura natural
Farinhas 100% BIO",Breads,TRUE,,,,,3.25,TRUE,Plano etiquetas pão 11-12-25.pdf,2025-12-11,"3,25€ / 6,50€"
"1/8-1/4
PAILLARDAUX GRAINES","farinha de trigo semi-integral orgânica,
levedura natural, cereais
Farinhas 100% BIO",Breads,TRUE,TRUE,,,,4.50,TRUE,Plano etiquetas pão 11-12-25.pdf,2025-12-11,"4,50€ / 9,00€"
"BAGUETTE
AUX GRAINES","farinha de trigo orgânica,
levedura natural, cereais
Farinhas 100% BIO",Breads,TRUE,TRUE,,,,2.20,TRUE,Plano etiquetas pão 11-12-25.pdf,2025-12-11,"2,20€"
"BAGUETTE
TRADITION","farinha de trigo orgânica,
levedura natural
Farinhas 100% BIO",Breads,TRUE,,,,,1.90,TRUE,Plano etiquetas pão 11-12-25.pdf,2025-12-11,"1,90€"
BAGUETTE EPIS,"farinha de trigo orgânica,
levedura natural
Farinhas 100% BIO",Breads,TRUE,,,,,1.90,TRUE,Plano etiquetas pão 11-12-25.pdf,2025-12-11,"1,90€"
BERINGELA PAILLARD,"Beringela Marinada
pasta de Tomate e Coallsada",Breads,TRUE,,,,,7.00,TRUE,Plano etiquetas snacks 13-6-24 - Campo Cruffins sales.pdf,2024-06-13,"7,00€"
BRIOCHE,Creme de Amêndoa,Breads,TRUE,TRUE,,,,2.50,TRUE,Plano etiquetas pão 11-12-25.pdf,2025-12-11,"2,50€"
"BRIOCHE
AU BEURRE","massa de brioche com
manteiga DOP francesa",Breads,TRUE,TRUE,TRUE,,,1.00,TRUE,Plano etiquetas CRUFFIN vierge April 2025.pdf,2025-04-01,"1,00€"
"BRIOCHE
AUSUCRE","massa de brioche com manteiga
DOP francesa, açúcar perolado",Breads,TRUE,TRUE,TRUE,,,2.20,TRUE,Plano etiquetas pão 11-12-25.pdf,2025-12-11,"2,20€"
